order_id,customer_id,order_timestamp,promised_delivery_date,actual_delivery_date,product_name,category,quantity,gross_sales_usd,discount_rate,net_sales_usd,cost_usd,sales_channel,shipping_mode,warehouse,sales_region,returned_flag,satisfaction_score,customer_segment,delivery_delay_days,late_flag,gross_margin_usd,gross_margin_pct,order_month,first_order_date,customer_country,account_tier,acquisition_motion,account_status
O500000,C31161,2025-07-03 13:00:00,2025-03-12,2025-03-14,Laptop Stand,Accessories,1.0,36.1,0.15,30.68,23.87,B2B Sales,Express,DAL-WH2,EU,False,4.0,Unknown,2,1,6.809999999999999,0.2219687092568448,2025-07,2024-09-11,FR,Startup,Self-Serve,Active
O500001,C30303,2025-05-16 06:00:00,2025-05-23,2025-05-24,Printer Ink,Supplies,3.0,119.97,0.1,107.97,85.66,Retail,Express,DAL-WH2,Central,False,3.0,Unknown,1,1,22.310000000000002,0.2066314717051033,2025-05,2025-06-18,IN,Startup,Self-Serve,At Risk
O500002,C30161,2025-01-22 01:00:00,2025-01-28,2025-02-09,"Monitor 27""",Electronics,3.0,875.45,0.05,831.68,599.16,Online,Standard,DAL-WH2,East,False,5.0,Unknown,12,1,232.51999999999998,0.2795786841092728,2025-01,2025-02-23,,Mid Market,Self-Serve,Active
O500003,C31776,2025-09-30 06:00:00,2025-10-05,2025-10-06,Webcam,Electronics,1.0,117.52,0.2,94.02,68.17,Retail,Express,TOR-WH1,West,False,5.0,Unknown,1,1,25.849999999999994,0.2749415018081259,2025-09,2025-02-22,DE,Small Business,Self-Serve,Churned
O500004,C30592,2025-06-25 09:00:00,2025-06-30,2025-06-29,Printer Ink,Supplies,2.0,96.56,0.0,96.56,68.5,Retail,Same Day,DAL-WH2,EU,False,4.0,SMB,-1,0,28.060000000000002,0.29059652029826016,2025-06,2025-08-15,FR,,Outbound,Active
O500005,C31660,2025-01-07 17:00:00,2025-01-14,2025-01-27,Office Chair,Furniture,1.0,254.99,0.1,229.49,168.93,Retail,Express,BER-WH3,East,False,3.0,SMB,13,1,60.56,0.2638894940956033,2025-01,2024-04-28,DE,Mid Market,Partner,Churned
O500006,C31477,2025-11-25 12:00:00,2025-12-01,2025-11-30,Laptop Stand,Accessories,4.0,160.85,0.1,144.76,95.99,B2B Sales,Standard,VAN-WH1,West,False,3.0,Unknown,-1,0,48.769999999999996,0.33690245924288476,2025-11,2025-09-18,AU,,Self-Serve,At Risk
O500007,C30043,2025-08-30 18:00:00,2025-09-06,2025-09-20,Notebook Pack,Supplies,5.0,85.93,0.2,,51.87,B2B Sales,Standard,,EU,False,3.0,SMB,14,1,,,2025-08,2024-06-22,CA,Small Business,Self-Serve,Active
O500008,C31788,2025-03-19 06:00:00,2025-03-25,2025-03-24,Webcam,Electronics,3.0,291.18,0.25,218.38,122.51,Retail,Same Day,TOR-WH1,West,False,4.0,Unknown,-1,0,95.86999999999999,0.43900540342522204,2025-03,2025-11-27,IN,Enterprise,Self-Serve,At Risk
O500009,C30204,2025-03-27 02:00:00,2025-04-01,2025-04-02,Office Chair,Furniture,4.0,1008.01,0.0,1008.01,613.76,B2B Sales,Standard,BER-WH3,West,True,1.0,SMB,1,1,394.25,0.3911171516155594,2025-03,2025-09-14,AU,Small Business,Outbound,Active
