order_id,customer_id,order_timestamp,promised_delivery_date,actual_delivery_date,product_name,category,quantity,gross_sales_usd,discount_rate,net_sales_usd,cost_usd,sales_channel,shipping_mode,warehouse,sales_region,returned_flag,satisfaction_score,customer_segment
O500000,C31161,07/03/2025 13:00,2025-03-12,03/14/2025,Laptop Stand,Accessories,1.0,36.1,0.15,30.68,23.87,B2B Sales,Express ,DAL-WH2,EU,False,4.0,
O500001,C30303,2025-05-16 06:00:00,2025-05-23,2025-05-24,Printer Ink,Supplies,3.0,119.97,0.1,107.97,85.66,Retail,Express ,DAL-WH2,Central,False,3.0,
O500002,C30161,2025-01-22 01:00:00,2025-01-28,2025-02-09,"Monitor 27""",Electronics,3.0,875.45,0.05,831.68,599.16,Online,standard,DAL-WH2,East,False,5.0,
O500003,C31776,2025-09-30 06:00:00,2025-10-05,2025-10-06,Webcam,Electronics,1.0,117.52,0.2,94.02,68.17,Retail,Express,TOR-WH1,West,False,5.0,
O500004,C30592,2025-06-25 09:00:00,2025-06-30,2025-06-29,Printer Ink,Supplies,2.0,96.56,0.0,96.56,68.5,Retail,Same Day,DAL-WH2,EU,False,4.0,SMB
O500005,C31660,2025-01-07 17:00:00,2025-01-14,2025-01-27,Office Chair,Furniture,1.0,254.99,0.1,229.49,168.93,Retail,Express,BER-WH3,East,False,3.0,SMB
O500006,C31477,2025-11-25 12:00:00,2025-12-01,2025-11-30,Laptop Stand,Accessories,4.0,160.85,0.1,144.76,95.99,B2B Sales,standard,VAN-WH1,west,False,3.0,
O500007,C30043,2025-08-30 18:00:00,2025-09-06,2025-09-20,Notebook Pack,Supplies,5.0,85.93,0.2,-50.0,51.87,B2B Sales,standard,,EU,False,3.0,SMB
O500008,C31788,19/03/2025 06:00,2025-03-25,2025-03-24,Webcam,Electronics,3.0,291.18,0.25,218.38,122.51,Retail,Same Day,TOR-WH1,West,False,4.0,
O500009,C30204,2025-03-27 02:00:00,2025-04-01,2025-04-02,Office Chair,Furniture,4.0,1008.01,0.0,1008.01,613.76,B2B Sales,standard,BER-WH3,west,True,1.0,smb
O500010,C31283,2025-06-26 07:00:00,2025-07-03,2025-07-05,"Monitor 27""",Electronics,3.0,811.63,0.1,730.47,548.62,Marketplace,Same Day,VAN-WH1,west,False,3.0,Enterprise
O500011,C30154,2025-12-02 02:00:00,2025-12-04,12/06/2025,Laptop Stand,Accessories,2.0,78.58,0.1,70.72,51.81,B2B Sales,Standard,TOR-WH1,EU,False,3.0,smb
O500012,C30548,2025-11-09 11:00:00,2025-11-15,2025-11-16,Desk Lamp,Furniture,,116.99,0.1,105.29,74.7,online,Express,BER-WH3,west,False,3.0,Enterprise
O500013,C31455,2025-09-07 08:00:00,2025-09-09,2025-09-12,Keyboard,Electronics,2.0,154.98,0.05,147.23,116.8,Online,Express,DAL-WH2,Central,False,4.0,Enterprise
O500014,C31276,2025-11-04 06:00:00,2025-11-07,2025-11-07,"Monitor 27""",Electronics,2.0,657.95,0.2,526.36,360.53,B2B Sales,Same Day,BER-WH3,west,False,3.0,
O500015,C31474,2025-12-09 15:00:00,2025-12-11,2025-12-13,USB-C Hub,Accessories,2.0,98.57,0.25,73.93,54.29,online,Express,DAL-WH2,Central,True,5.0,smb
O500016,C31461,10/04/2025 16:00,2025-04-14,2025-04-13,Webcam,Electronics,5.0,518.08,0.2,414.46,284.0,B2B Sales,standard,TOR-WH1,west,False,4.0,smb
O500017,C30574,2025-04-10 13:00:00,2025-04-17,2025-04-16,Mouse,Electronics,2.0,93.07,0.2,74.46,50.6,Retail,Same Day,DAL-WH2,East,True,2.0,SMB
O500018,C30069,2025-06-17 16:00:00,2025-06-23,2025-07-06,Keyboard,Electronics,4.0,307.23,0.05,291.87,226.12,Marketplace,standard,BER-WH3,EU,False,4.0,Enterprise
O500019,C31076,2025-03-21 14:00:00,2025-03-24,2025-03-27,Notebook Pack,Supplies,1.0,20.45,0.0,20.45,11.36,Online,Standard,BER-WH3,Central,False,3.0,smb
O500020,C31107,2025-01-13 06:00:00,2025-01-20,2025-01-21,Office Chair,Furniture,1.0,266.13,0.0,266.13,150.31,Online,Same Day,,Central,False,4.0,Consumer
O500021,C31288,2025-05-03 05:00:00,2025-05-10,2025-05-11,"Monitor 27""",Electronics,2.0,518.09,0.15,440.38,270.86,Online,Same Day,VAN-WH1,East,False,4.0,SMB
O500022,C31018,2025-08-31 05:00:00,2025-09-03,09/04/2025,Desk Lamp,Furniture,2.0,131.39,0.0,131.39,87.27,online,Standard,,west,True,3.0,Consumer
O500023,C30567,2025-08-21 18:00:00,2025-08-23,2025-08-27,Webcam,Electronics,3.0,258.53,0.1,232.68,137.24,online,standard,TOR-WH1,EU,False,2.0,Consumer
O500024,C30311,13/12/2025 11:00,2025-12-15,2025-12-16,Webcam,Electronics,3.0,339.66,0.0,339.66,239.8,Marketplace,Standard,,West,False,2.0,Enterprise
